checkLevel,checkName,checkDescription,kahnContext,kahnCategory,kahnSubcategory,sqlFile,evaluationFilter
CONCEPT,checkUnit,"For a CONCEPT_ID @conceptId (@conceptName), the number and percent of records that are associated with the wrong unit. Right unit is defined in the concept_relationship table",Validation,Conformance,,check_unit.sql,checkUnit=='Yes'
CONCEPT,checkAllowedValues,"For a CONCEPT_ID @conceptId (@conceptName), the number and percent of records that are associated with a non-conventional value. These values are defined in the concept_relationship table",Validation,Conformance,,check_allowed_values.sql,checkAllowedValues=='Yes'
FIELD,conventionSimilarity,"For a field @cdmFieldName, the number and percent of records that use a non-conventional concept_id that seems to map to a conventional id. This is defined as being less than @similarityThresholdLevenshtein away using Levenshtein distance or more than @similarityThresholdJaccard percent similar using Jaccard similarity.",Validation,Conformance,,check_conventional_concepts_similarity.sql,conventionSimilarity=='Yes'
FIELD,followsConvention,"For a field @cdmFieldName, the number and percent of records that use a non-conventional concept_id. These conventions are defined in the concept_relationship table",Validation,Conformance,,check_conventional_concepts.sql,followsConvention=='Yes'
TABLE,periodOverlap,"For table @cdmTableName, the number and percent of records that overlap with another record using @startDateField and @endDateField",Validation,Conformance,Temporal,table_period_overlap.sql,periodOverlap=='Yes'
TABLE,treatmentLineOrder,"For the treatment_line table, check if the treatment line number increases over time",Validation,Conformance,Temporal,table_treatment_line_order.sql,treatmentLineOrder=='Yes'
FIELD,observationPeriodOverlap,"For table @cdmTableName, the number and percent of records that have a @cdmFieldName not within one of the observation periods of that patient",Validation,Conformance,Temporal,observation_period_overlap.sql,observationPeriodOverlap=='Yes'
TABLE,dateBoundaries,"For table @cdmTableName, check if periods @startDateField - @endDateField are within the interval @lowerBoundary - @upperBoundary", Validation,Conformance,Temporal,date_within_boundaries.sql,dateBoundaries=='Yes'
TABLE,checkRegimenEndDate,"For table @cdmTableName, the amount and % of records that have a null value for drug_era_end_date, but are not the ongoing regimen.",Validation,Conformance,Temporal,drug_era_end_date_null.sql,checkRegimenEndDate=='Yes'
TABLE,checkTreatmentLineStart,"For table @cdmTableName, the amount and % of records where the treatment line start doesn't correspond to the minimum value of the drug_era starts.",Validation,Conformance,Temporal,check_treatmentline_start.sql,checkTreatmentLineStart=='Yes'
