cdmTableName,cdmFieldName,conceptId,conceptName,unitConceptId,unitConceptName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueLowNotes,plausibleValueHigh,plausibleValueHighThreshold,plausibleValueHighNotes,plausibleGender,plausibleGenderUseDescendants,plausibleGenderThreshold,plausibleGenderUseDescendantsThreshold,plausibleGenderNotes,isTemporallyConstant,isTemporallyConstantThreshold,isTemporallyConstantNotes,validPrevalenceLow,validPrevalenceLowThreshold,validPrevalenceLowNotes,validPrevalenceHigh,validPrevalenceHighThreshold,validPrevalenceHighNotes,plausibleUnitConceptIds,plausibleUnitConceptIdsThreshold,plausibleUnitConceptIdsNotes
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192683,Uterovaginal prolapse,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192854,Intramural leiomyoma of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192858,Ovarian hyperfunction,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193254,Disorder of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193261,Vaginospasm,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193262,Inflammatory disorder of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193277,Deliveries by cesarean,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193437,Neoplasm of uncertain behavior of female genital organ,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193439,Benign neoplasm of body of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193522,Acute prostatitis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193530,Follicular cyst of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193739,Ovarian failure,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,193818,Calculus of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194092,Uterine prolapse without vaginal wall prolapse,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194286,"Malignant neoplasm of corpus uteri, excluding isthmus",,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194412,Dysplasia of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194420,Endometriosis of fallopian tube,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194611,Carcinoma in situ of uterine cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194696,Dysmenorrhea,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194871,Trichomonal vulvovaginitis,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,194997,Prostatitis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195009,Leukoplakia of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195012,Intermenstrual bleeding - irregular,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195197,Primary malignant neoplasm of vulva,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195316,Atypical endometrial hyperplasia,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195321,Postmenopausal bleeding,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195483,Primary malignant neoplasm of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195500,Benign neoplasm of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195501,Polycystic ovaries,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195683,Open wound of penis without complication,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195769,Submucous leiomyoma of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195770,Subserous leiomyoma of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195793,Neoplasm of uncertain behavior of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195867,Noninflammatory disorder of the vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,195873,Leukorrhea,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196048,Primary malignant neoplasm of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196051,Overlapping malignant neoplasm of female genital organs,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196068,Carcinoma in situ of male genital organ,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196157,Induratio penis plastica,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196158,Disorder of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196163,Cervicitis and endocervicitis,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196165,Cervical intraepithelial neoplasia grade 2,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196168,Irregular periods,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196359,Primary malignant neoplasm of uterine cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196364,Benign neoplasm of uterine cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196473,Hypertrophy of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196734,Disorder of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196738,Disorder of male genital organ,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,196758,Tumor of body of uterus affecting pregnancy,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197032,Hyperplasia of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197039,Male genital organ vascular diseases,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197044,Female infertility associated with anovulation,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197236,Uterine leiomyoma,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197237,Benign neoplasm of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197494,Viral hepatitis C,,,,,,,,,,,,,,Yes,,,0.0017,,,0.0155,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197507,Primary malignant neoplasm of male genital organ,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197508,Malignant tumor of urinary bladder,,,,,,,,,,,,,,Yes,,,0.0013,,,0.0113,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197601,Spermatocele,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197605,Inflammatory disorder of male genital organ,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197606,Female infertility of tubal origin,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197607,Excessive and frequent menstruation,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197609,"Cervical, vaginal and vulval inflammatory diseases",,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197610,Cyst of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,197938,Uterine inertia,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198082,Overlapping malignant neoplasm of body of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198108,Benign neoplasm of fallopian tubes and uterine ligaments,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198194,Female genital organ symptoms,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198197,Male infertility,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198198,Polyp of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198202,Cystocele,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198212,Spotting per vagina in pregnancy,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198363,Candidiasis of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198471,Complex endometrial hyperplasia,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198483,Stricture or atresia of the vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198803,Benign prostatic hyperplasia,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,198806,Abscess of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199067,Female pelvic inflammatory disease,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199078,Vaginal wall prolapse,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199752,Secondary malignant neoplasm of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199764,Benign neoplasm of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199876,Prolapse of female genital organs,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199877,Mucous polyp of cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199878,Light and infrequent menstruation,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,199881,Endometriosis of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200051,Primary malignant neoplasm of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200052,Primary malignant neoplasm of uterine adnexa,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200147,Atrophy of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200445,Chronic prostatitis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200452,Disorder of female genital organs,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200461,Endometriosis of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200670,Benign neoplasm of male genital organ,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200675,Neoplasm of uncertain behavior of ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200775,Endometrial hyperplasia,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200779,Polyp of corpus uteri,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200780,Disorder of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200962,Primary malignant neoplasm of prostate,,,,,,,,,Male,,5,,,Yes,,,0.0052,,,0.0471,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,200970,Carcinoma in situ of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201072,Benign prostatic hypertrophy without outflow obstruction,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201078,Atrophic vaginitis,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201211,Herpetic vulvovaginitis,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201238,Primary malignant neoplasm of female genital organ,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201244,Benign neoplasm of vagina,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201257,Disorder of endocrine ovary,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201346,Edema of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201355,Erosion and ectropion of the cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201527,Neoplasm of uncertain behavior of prostate,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201606,Crohn's disease,,,,,,,,,,,,,,Yes,,,0.0012,,,0.0112,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201617,Prostatic cyst,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201625,Malposition of uterus,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201801,Primary malignant neoplasm of fallopian tube,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201817,Benign neoplasm of female genital organ,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201820,Diabetes mellitus,,,,,,,,,,,,,,Yes,,,0.039,,,0.3514,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201823,Benign neoplasm of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201907,Edema of male genital organs,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201909,Female infertility,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,201913,"Torsion of the ovary, ovarian pedicle or fallopian tube",,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,255573,Chronic obstructive lung disease,,,,,,,,,,,,,,Yes,,,0.0194,,,0.1742,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,255848,Pneumonia,,,,,,,,,,,,,,Yes,,,0.0218,,,0.1966,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,313217,Atrial fibrillation,,,,,,,,,,,,,,Yes,,,0.0128,,,0.1155,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,314409,Vascular disorder of penis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,315586,Priapism,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,316139,Heart failure,,,,,,,,,,,,,,Yes,,,0.0161,,,0.1452,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,316866,Hypertensive disorder,,,,,,,,,,,,,,Yes,,,0.0913,,,0.8215,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,317576,Coronary arteriosclerosis,,,,,,,,,,,,,,Yes,,,0.0206,,,0.1852,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,318800,Gastroesophageal reflux disease,,,,,,,,,,,,,,Yes,,,0.0337,,,0.3033,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,321052,Peripheral vascular disease,,,,,,,,,,,,,,Yes,,,0.0426,,,0.3832,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,321588,Heart disease,,,,,,,,,,,,,,Yes,,,0.061,,,0.5491,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,381591,Cerebrovascular disease,,,,,,,,,,,,,,Yes,,,0.0142,,,0.1274,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,432571,Malignant lymphoma,,,,,,,,,,,,,,Yes,,,0.0016,,,0.0143,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,432867,Hyperlipidemia,,,,,,,,,,,,,,Yes,,,0.0712,,,0.6412,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,433716,Primary malignant neoplasm of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,433736,Obesity,,,,,,,,,,,,,,Yes,,,0.038,,,0.3422,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,434251,Injury of male external genital organs,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,435315,Torsion of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,435648,Retractile testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,435783,Schizophrenia,,,,,,,,,,,,,,Yes,,,0.0021,,,0.0186,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,436155,Redundant prepuce and phimosis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,436358,Primary malignant neoplasm of exocervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,436366,Benign neoplasm of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,436466,Balanoposthitis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,437501,Primary malignant neoplasm of labia majora,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,437655,Undescended testicle,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,438409,Attention deficit hyperactivity disorder,,,,,,,,,,,,,,Yes,,,0.0078,,,0.0706,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,438477,Atrophy of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,439727,Human immunodeficiency virus infection,,,,,,,,,,,,,,Yes,,,0.0006,,,0.0057,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,439871,Hemospermia,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,440383,Depressive disorder,,,,,,,,,,,,,,Yes,,,0.0392,,,0.3531,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,440417,Pulmonary embolism,,,,,,,,,,,,,,Yes,,,0.0024,,,0.022,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,440971,Neoplasm of uncertain behavior of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,441068,Torsion of appendix of testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,441077,Stenosis of cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,441805,Primary malignant neoplasm of endocervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,442781,Disorder of uterine cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,443211,Benign prostatic hypertrophy with outflow obstruction,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,443388,Malignant tumor of lung,,,,,,,,,,,,,,Yes,,,0.0021,,,0.0185,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,443392,Malignant neoplastic disease,,,,,,,,,,,,,,Yes,,,0.0326,,,0.2932,,,,,
